#taxon_id	STRING_type	STRING_name_compact	official_name_NCBI	domain
1423790	core	Lactobacillus pasteurii	Lactobacillus pasteurii DSM 23907 = CRBIP 24.76	Bacteria
1423792	core	Lactobacillus perolens	Lactobacillus perolens DSM 12744	Bacteria
1423794	core	Lactobacillus pontis	Lactobacillus pontis DSM 8475	Bacteria
1423795	core	Lactobacillus rapi	Lactobacillus rapi DSM 19907 = JCM 15042	Bacteria
1423796	core	Lactobacillus rennini	Lactobacillus rennini DSM 20253	Bacteria
1423801	core	Lactobacillus satsumensis	Lactobacillus satsumensis DSM 16230 = JCM 12392	Bacteria
1423802	core	Lactobacillus senioris	Lactobacillus senioris DSM 24302 = JCM 17472	Bacteria
1423803	core	Lactobacillus senmaizukei	Lactobacillus senmaizukei DSM 21775 = NBRC 103853	Bacteria
1423804	core	Lactobacillus similis	Lactobacillus similis DSM 23365 = JCM 2765	Bacteria
1423806	core	Lactobacillus sucicola	Lactobacillus sucicola DSM 21376 = JCM 15457	Bacteria
1423807	core	Lactobacillus suebicus	Lactobacillus suebicus DSM 5007 = KCTC 3549	Bacteria
1423809	core	Lactobacillus taiwanensis	Lactobacillus taiwanensis DSM 21401	Bacteria
1423810	core	Lactobacillus thailandensis	Lactobacillus thailandensis DSM 22698 = JCM 13996	Bacteria
1423811	core	Lactobacillus tucceti	Lactobacillus tucceti DSM 20183	Bacteria
1423812	core	Lactobacillus uvarum	Lactobacillus uvarum DSM 19971	Bacteria
1423813	core	Lactobacillus vaccinostercus	Lactobacillus vaccinostercus DSM 20634	Bacteria
1423814	core	Lactobacillus vaginalis	Lactobacillus vaginalis DSM 5837 = ATCC 49540	Bacteria
1423815	core	Lactobacillus versmoldensis	Lactobacillus versmoldensis DSM 14857 = KCTC 3814	Bacteria
1423817	core	Lactobacillus zymae	Lactobacillus zymae DSM 19395	Bacteria
1423818	core	Lactobacillus futsaii	Lactobacillus futsaii JCM 17355	Bacteria
1423820	core	Lactobacillus aviarius	Lactobacillus aviarius subsp. araffinosus DSM 20653	Bacteria
1423892	periphery	Ehrlichia muris	Ehrlichia muris AS145	Bacteria
1423959	periphery	Chryseobacterium contaminans	Chryseobacterium contaminans	Bacteria
1424294	core	Geosporobacter ferrireducens	Geosporobacter ferrireducens	Bacteria
1424334	periphery	Advenella kashmirensis W13003	Advenella kashmirensis W13003	Bacteria
1424659	periphery	Cryobacterium flavum	Cryobacterium flavum	Bacteria
1424661	periphery	Cryobacterium luteum	Cryobacterium luteum	Bacteria
1427503	periphery	Holospora elegans	Holospora elegans E1	Bacteria
1427518	periphery	Xenorhabdus szentirmaii	Xenorhabdus szentirmaii DSM 16338	Bacteria
1427984	core	Hepatoplasma crinochetorum	Candidatus Hepatoplasma crinochetorum Av	Bacteria
1428448	periphery	Marinitoga sp. 1155	Marinitoga sp. 1155	Bacteria
1428620	periphery	Streptomyces humi	Streptomyces humi	Bacteria
1428628	periphery	Streptomyces mangrovisoli	Streptomyces mangrovisoli	Bacteria
1428644	periphery	Streptomyces gilvigriseus	Streptomyces gilvigriseus	Bacteria
1428652	periphery	Streptomyces sp. MUSC93	Streptomyces sp. MUSC 93	Bacteria
1428657	core	Intrasporangium flavum	Intrasporangium flavum	Bacteria
1429043	core	Dethiosulfatarculus sandiegensis	Dethiosulfatarculus sandiegensis	Bacteria
1429083	periphery	Pseudomonas hussainii	Pseudomonas hussainii	Bacteria
1429867	periphery	Penicillium camemberti	Penicillium camemberti FM 013	Eukaryotes
1429916	periphery	Afipia sp. P5210	Afipia sp. P52-10	Bacteria
1430326	periphery	Mycobacterium decipiens	Mycobacterium decipiens	Bacteria
1430440	periphery	Magnetospirillum gryphiswaldense	Magnetospirillum gryphiswaldense MSR-1 v2	Bacteria
1431546	periphery	Corynebacterium aquilae	Corynebacterium aquilae DSM 44791	Bacteria
1431688	core	Thiohalocapsa sp. ML1	Thiohalocapsa sp. ML1	Bacteria
1432056	periphery	Mannheimia sp. USDAARSUSMARC1261	Mannheimia sp. USDA-ARS-USMARC-1261	Bacteria
1432141	periphery	Rhizophagus irregularis DAOM	Rhizophagus irregularis DAOM 197198w	Eukaryotes
1432307	periphery	Sclerotinia borealis	Sclerotinia borealis F-4128	Eukaryotes
1432562	periphery	Salinicoccus sediminis	Salinicoccus sediminis	Bacteria
1432656	periphery	Thermococcus guaymasensis	Thermococcus guaymasensis DSM 11113	Archaea
1432788	periphery	Streptococcus cuniculi	Streptococcus cuniculi	Bacteria
1433126	core	Mucinivorans hirudinis	Mucinivorans hirudinis	Bacteria
1433287	periphery	Mannheimia varigena	Mannheimia varigena USDA-ARS-USMARC-1296	Bacteria
1433844	periphery	Prevotella sp. HJM029	Prevotella sp. HJM029	Bacteria
1434072	periphery	Pseudomonas salegens	Pseudomonas salegens	Bacteria
1434100	periphery	Methanosarcina sp. MTP4	Methanosarcina sp. MTP4	Archaea
1434103	periphery	Methanosarcina sp. WWM596	Methanosarcina sp. WWM596	Archaea
1434104	periphery	Methanococcoides methylutens	Methanococcoides methylutens MM1	Archaea
1434107	periphery	Methanosarcina barkeri 3	Methanosarcina barkeri 3	Archaea
1434108	periphery	Methanosarcina barkeri MS	Methanosarcina barkeri MS	Archaea
1434110	periphery	Methanosarcina horonobensis	Methanosarcina horonobensis HB-1 = JCM 15518	Archaea
1434111	periphery	Methanosarcina lacustris	Methanosarcina lacustris Z-7289	Archaea
1434118	periphery	Methanosarcina siciliae	Methanosarcina siciliae C2J	Archaea
1434123	periphery	Methanosarcina vacuolata	Methanosarcina vacuolata Z-761	Archaea
1434232	periphery	Magnetofaba australis	Magnetofaba australis IT-1	Bacteria
1434325	periphery	Dyadobacter tibetensis	Dyadobacter tibetensis Y620-1	Bacteria
1434700	core	Moheibacter sediminis	Moheibacter sediminis	Bacteria
1434701	core	Chishuiella changwenlii	Chishuiella changwenlii	Bacteria
1434752	periphery	Arcticibacter eurypsychrophilus	Arcticibacter eurypsychrophilus	Bacteria
1435051	periphery	Bifidobacterium moukalabense	Bifidobacterium moukalabense DSM 27321	Bacteria
1435069	periphery	Vibrio tritonius	Vibrio tritonius	Bacteria
1435349	periphery	Tamlana sedimentorum	Tamlana sedimentorum	Bacteria
1435377	periphery	Sulfolobus acidocaldarius SUSAZ	Sulfolobus acidocaldarius SUSAZ	Archaea
1436961	periphery	Pontibacter chinhatensis	Pontibacter chinhatensis	Bacteria
1437059	periphery	Magnetospirillum moscoviense	Magnetospirillum moscoviense	Bacteria
1437360	periphery	Bradyrhizobium erythrophlei	Bradyrhizobium erythrophlei	Bacteria
1437425	core	Criblamydia sequanensis	Criblamydia sequanensis CRIB-18	Bacteria
1437433	periphery	Pseudogymnoascus sp. VKMF3557	Pseudogymnoascus sp. VKM F-3557	Eukaryotes
1437523	periphery	Domibacillus indicus	Domibacillus indicus	Bacteria
1437600	periphery	Bifidobacterium pullorum	Bifidobacterium pullorum DSM 20433	Bacteria
1437603	periphery	Bifidobacterium mongoliense	Bifidobacterium mongoliense DSM 21395	Bacteria
1437605	periphery	Bifidobacterium actinocoloniiforme	Bifidobacterium actinocoloniiforme DSM 22766	Bacteria
1437606	periphery	Bifidobacterium bohemicum	Bifidobacterium bohemicum DSM 22767	Bacteria
1437607	periphery	Bifidobacterium saguini	Bifidobacterium saguini DSM 23967	Bacteria
